url,title,text,topic,tags,date
https://lenta.ru/news/2018/05/11/mobile/,Названы регионы с самой доступной мобильной связью,"Средняя стоимость минимального пакетного тарифа российских сотовых операторов в апреле нынешнего года по сравнению с августом 2017 года снизилась на четыре процента, до 258,3 рубля. Об этом сообщается в исследовании агентства Content Review. Снижение цен произошло из-за внедрения тарифов-конструкторов, отмечается в исследовании. По словам руководителя Content Review Сергея Половникова, если ранее влияние на доступность связи оказывал уровень дохода в регионе, то теперь тарифы сотовой связи изменились во всех регионах и у всех операторов. «Весной 2018 года абонентам практически всех операторов стали доступны новые тарифы-конструкторы, что позволило значительно оптимизировать расходы на услуги связи», — сказал он. В исследовании учтены наиболее доступные пакетные тарифы для предоплатной системы расчетов, включающие как минимум гигабайт мобильного интернета и голосовые звонки. Во всех регионах рассматривались тарифы МТС, «Мегафона», «Вымпелкома» (бренд «Билайн») и Tele2, а также Win Mobile, «КрымТелеком», «СевМобайл» и «Волна Мобайл» в Крыму. Наиболее доступной связь оказалась в Ямало-Ненецком автономном округе, Тюменской и Магаданской областях, Ханты-Мансийском и Чукотском автономных округах. Жители Ингушетии, Дагестана, Чечни, Брянской области и Кабардино-Балкарии платят за услуги сотовых операторов больше всех. Москва занимает шестое место в рейтинге доступности связи. Средний минимальный тариф в Москве увеличился на восемь процентов до 350 рублей в месяц.",Экономика,Бизнес,2018/05/11
https://lenta.ru/news/2018/02/07/andthewinneris/,Назван победитель баттла Гуфа и Птахи,"Хип-хоп-исполнитель Алексей Долматов, выступающий под псевдонимом Гуф, победил в рэп-баттле Давида Нуриева, известного как Птаха. Об этом сообщает Telegram-канал Super. Гуф выиграл в состязании со счетом 3:0. Отмечается, что во время баттла рэпер провоцировал Птаху на драку. Нуриев раскритиковал Долматова за некие невыполненные договоренности, но остался доволен мероприятием, «потому что этот баттл четыре ляма (миллиона рублей — прим. «Ленты.ру») поднял». Запись поединка, который прошел на площадке Versus Battle, опубликуют в интернете на ближайшей неделе. В сентябре 2017 года стало известно, что Гуф получит за участие в баттле два миллиона рублей. Читатели «Ленты.ру» в голосовании предугадали, что Долматов выиграет в состязании — за него проголосовали 46 процентов респондентов, а Птаха получил лишь 8 процентов голосов. 21 процент голосовавших посчитали, что настоящим победителем баттла станет его ведущий Ресторатор, еще 25 процентов удивились, что Гуф «все еще жив». Птаха вызвал Гуфа на словесный поединок 19 сентября. Конфликт музыкантов продолжается уже несколько лет. С 2004 по 2009 год оба входили в группу Centr. В 2014-м коллектив воссоединился, но через два года распался снова.",Культура,Музыка,2018/02/07
https://lenta.ru/news/2018/11/04/naked/,Голая женщина прервала футбольный матч,"Матч второго дивизиона чемпионата Нидерландов по футболу между клубами «Рингсбургс Бойс» и «Амстердам» был остановлен из-за появившейся на поле обнаженной женщины. Видео появилось в Twitter-аккаунте Ultrassnl. Болельщица пробежала через все поле с флагом в руках и пыталась прикоснуться к футболистам, попадавшимся ей на пути. Женщину никто не остановил, и она самостоятельно покинула стадион. Матч завершился победой «Амстердама» со счетом 6:2.",Спорт,Футбол,2018/11/04
https://lenta.ru/news/2018/06/13/china/,Китайского болельщика обокрали в Москве на миллион рублей,"В Москве у футбольного болельщика из Китая похитили деньги и ценности на один миллион рублей. Об этом сообщает РБК. «В дежурную часть обратился приезжий из Китая, который рассказал, что в кафе ""Вокруг света"" на Никольской улице у него похитили рюкзак», — заявил один из источников издания в ГУ МВД по Москве. Сообщается, что в сумке было два билета на футбол, два планшета, два смартфона, а также около 30 тысяч юаней (около 300 тысяч рублей). Общий материальный ущерб китайского болельщика составил около одного миллиона рублей. По факту произошедшего возбуждено уголовное дело. 12 апреля британская журналистка Сара Рэйнсфорд рассказала, что московский таксист перед ответным матчем четвертьфинала Лиги Европы между ЦСКА и «Арсеналом» вымогал деньги у болельщиков британской команды. По ее словам, таксист, довозивший двоих ее друзей от Лубянки до Пятницкой улицы, потребовал у них 10 тысяч рублей за проезд.",Спорт,Футбол,2018/06/13
https://lenta.ru/news/2018/03/26/remington/,Старейший производитель оружия в США обанкротился,"Американская оружейная компания Remington, которая является старейшим в США производителем оружия, подала заявление о банкротстве. Об этом сообщает CNBC. Причиной банкротства компании стал большой долг и падение объема продаж на 30 процентов в 2017 году по сравнению с 2016-м. Кроме того, в США на фоне нескольких случаев стрельбы в школах произошли митинги с требованием ужесточить правила владения огнестрельным оружием. О предстоящем банкротстве компании стало известно еще в феврале 2018 года, однако дата подачи заявки откладывалась. По данным CNN, компания не намерена останавливать производство оружия. Как поясняет телеканал, подача заявления о банкротстве позволяет снизить объем задолженности примерно на 700 миллионов долларов и передать 145 миллионов долларов дочерним предприятиям. Компания Remington была основана в 1816 году. В ходе Гражданской войны в США, а также Первой и Второй мировых войн она поставляла оружие на фронт. В настоящее время компания принадлежит Cerberus Capital Management, но организация намерена перестать быть собственником Remington после того, как процедура банкротства будет завершена. ",Экономика,Бизнес,2018/03/26
https://lenta.ru/news/2018/01/10/expend/,В новогодние каникулы россияне потратили триллион рублей,"С 1 по 8 января россияне потратили 920 миллиардов рублей, из них 23 миллиарда — в сети. Об этом сообщает RT со ссылкой на данные Ассоциации компаний интернет-торговли (АКИТ). Новогодние расходы россиян в 2018 году выросли на 7 процентов по сравнению с показателем аналогичного периода прошлого года (860 миллиардов рублей). Покупки в интернете увеличились на 22 процента. По мнению президента АКИТ Алексея Федорова, спрос на онлайн-покупки во время каникул вырос во многом из-за плохой погоды в Москве и Санкт-Петербурге — основных центрах онлайн-коммерции. «Мы заметили, что интересной тенденцией, наблюдаемой нами, стала высокая доля заказов ювелирных украшений и шуб в начале января. Кроме того, интересно, что и процент отмененных заказов в этот период доходил до 30-35, тогда как в обычное время он не превышает 10», — пояснил Федоров. Наибольшим спросом пользовались бытовая техника и электроника, ювелирные украшения и верхняя одежда. В интернете россияне чаще покупали продукты питания и готовую еду, смартфоны, «умные часы», наушники, а также товары для дома и мебель. По данным АКИТ, в новогоднюю ночь покупки онлайн сделали около семи миллионов человек. В конце ноября 2017 года, в день распродаж — «черную пятницу» — россияне потратили 30 миллиардов рублей. Покупателями товаров со скидками стали 20 миллионов человек.",Экономика,Госэкономика,2018/01/10
https://lenta.ru/news/2018/12/14/ugly95/,Microsoft нашел новое применение Windows 95,"Сотрудники американской компании Microsoft поддержали традицию выпуска «уродливых свитеров» (ugly sweaters) к Рождеству. Об этом они объявили в Twitter. В четверг, 13 декабря, на официальной странице Microsoft появился пост с фотографиями джемпера с изображением фирменного логотипа операционной системы Windows 95. «Представляем последнее пользовательское программное обеспечение Windows 95. Хотите получить уродливый свитер Windows? Пишите нам в личные сообщения, и мы подарим их нескольким счастливчикам», — говорится в сообщении.  Публикация получила тысячи лайков, ретвитов и восторженных комментариев. В октябре портал BoredPanda составил подборку нелепых принтов на одежде незнакомцев, которые пользователи опубликовали в сети. Среди них оказался розовый флисовый свитер с паттерном из небольших панд в пошлых позах. На фотографии видно, что его надел маленький ребенок.",Ценности,Стиль,2018/12/14
https://lenta.ru/news/2018/09/13/zifrovayaeconomika/,Цифровая экономика стала одной из ключевых тем обсуждения на ВЭФ,"Участники IV Восточного экономического форума (ВЭФ) в рамках одной из ключевых сессий обсудили тему, посвященную цифровизации экономики, а также тому, какие возможности и перспективы в этой сфере открываются для Дальнего Востока. В частности, они отметили, что цифровизация является одним из актуальных трендов развития экономики и общества. «Цифровая революция дает огромные возможности в денежной сфере. (…) Мы говорим о рождении принципиально нового типа денег — не столько о криптовалютах, сколько о национальных цифровых валютах», — заявил советник президента России Сергей Глазьев. По словам Татьяны Ремезовой, ведущей программы «Вести» (Всероссийская государственная телевизионная и радиовещательная компания, ВГТРК), признанием значимости роли цифровой экономики является ее ежегодное увеличение доли ВВП. «В российском ВВП пока цифровая экономика составляет 2,8 процента, или 75 миллиардов долларов, причем большая ее часть, 63 миллиарда долларов, приходится на сферу потребления», — отметила она. Одной из ключевых проблем в этой сфере, по мнению участников встречи, является отсутствие нормативно-правовой базы для развития цифровой экономики. «Цифровое законодательство пишется с чистого листа. Его сегодня нет не только в нашей стране, его вообще нигде нет в мире», — заявил Сергей Жигарев, председатель комитета Государственной Думы Федерального собрания по экономической политике, промышленности, инновационному развитию и предпринимательству. «Нормативная среда на сегодня не учитывает ключевых свойств новой экономики — высокой ценности нематериальных активов, размывания границ и предельно низкие затраты на тиражирование бизнес-моделей, в том числе регуляторные вопросы, которые должны были быть решены еще вчера: определение юридической природы новых цифровых активов, идентификация субъектов цифровой экономики, юридическая сила электронных документов, формы государственного контроля бизнеса, регулирование оборота данных и доступа к ним таким образом, чтобы они были защищены и в то же время доступны для решения различных бизнес-задач», — сказал старший вице-президент, заместитель председателя совета директоров, ГМК «Норильский никель», вице-президент ЗАО «Холдинговая компания ИНТЕРРОС» Андрей Бугров. Исполнительный операционный директор Bitlish Ltd.Коссар Сохейл заметил: «У нас нет метода юридического регулирования блокчейна и криптовалют. (…) Международных стандартов, которые применялись бы повсеместно, не существует». Также участники встречи отметили необходимость в том, чтобы ясно было описано понятие смарт-контрактов, которое, по словам Дмитрия Уфаева, гендиректора Bitfury Russia, позволит поверх блокчейна дописывать различную бизнес-логику и взаимодействовать более эффективно». Кроме того, отставание регулирования и киберпреступность создают риски для экономики и общества, подчеркнули собравшиеся. «Когда все приходит в цифровой вид, должна обеспечиваться и гарантированная сохранность данных», — указал Сергей Мытенков, вице-президент Российского союза промышленников и предпринимателей (РСПП). «Ни в одной стране мира мы не можем надлежащим образом защитить права участников смарт-контрактов. (…) Страны не понимают юридическую природу смарт-контрактов», — сказала Элина Сидоренко, руководитель рабочей группы по оценкам рисков оборота криптовалюты Государственной Думы. «Биткоин и другие криптовалюты не считаются валютами и, следовательно, подлежат свободному обороту. (…) С другой стороны, когда добавляются дополнительные характеристики, надстраиваются над криптовалютой, это может становиться угрозой для экономики», — заявила Джулия Чарлтон, партнер, адвокат Charltons. В целом, по мнению участников сессии, бизнес и общество не готовы к цифровизации. «Сейчас основная задача в том, чтобы решить две ключевые проблемы: донести до государства консолидированную позицию большой экономики и большого бизнеса в этой части. (…) Вторая — помочь самому большому бизнесу, да и малому, и среднему бизнесу, разобраться, что конкретно они хотят, с чем мы имеем дело, что такое цифровизация», — считает Элина Сидоренко. Самое важное, отметил Сергей Мытенков, — работа с населением, поскольку не все готовы переходить на цифровые технологии. «Технологические термины, которые мы заимствуем из английского языка, [необходимо] начать переводить на русский язык», — считает Анатолий Бобраков, заместитель генерального директора по корпоративным вопросам, АО «Фонд развития Дальнего Востока и Байкальского региона». Одним из решений существующих в этой сфере проблем участники сессии назвали создание регулятивной базы цифровизации. «Регулирование процессов цифровизации должно основываться на принципах умеренного вмешательства государства в новые экономические отношения с сохранением за ними функций контроля и надзора на финансовых рынках», — заявил Андрей Бугров. «Цифровая экономика не может быть субъектовой или региональной, она сразу носит планетарный характер. Очень важно договориться с парламентариями из других стран о том, что мы вкладываем в термины (…) самые простые понятия, чтобы они и у нас воспринимались и звучали абсолютно одинаково», — сказал Сергей Жигарев, председатель комитета Государственной Думы по экономической политике, промышленности, инновационному развитию и предпринимательству. Необходимо также создание моделей безопасности данных. «Для большой экономики вход в цифру должен быть проторен не только законодательством, определяющим статус участников, но также и выстраиванием модели безопасности», — считает Элина Сидоренко. Кроме того, требуется и реорганизация образовательного процесса. «Необходимо уходить в сторону практического дуального образования. (…) То, что сейчас происходит в образовании, — более теоретика, а молодежь это не устраивает», — отметил Алексей Мостовщиков, сопредседатель Магаданского регионального отделения Общероссийской общественной организации «Деловая Россия».",Экономика,Деловой климат,2018/09/13
https://lenta.ru/news/2018/05/10/zagorod/,Спрос на загородное жилье в Подмосковье обвалился на треть,"За последние пять лет спрос на первичную загородную недвижимость в Московской области снизился на 28 процентов, свидетельствуют материалы агентства «ИНКОМ-Недвижимость», поступившие в «Дом» в четверг, 10 мая. Больше других пострадал сегмент коттеджей: доля их продаж в общей структуре сделок упала до пяти процентов. «Ранее популярные коттеджи больше не являются хитами продаж на рынке загородного жилья, — отмечают аналитики. — Поворотным моментом стал 2014 год, принесший новую волну кризиса: финансовые трудности не способствуют созданию проектов с застройкой. В такой ситуации сокращение спроса в массовых сегментах естественно: покупателям просто не из чего выбирать». По данным «ИНКОМ», всего за первый квартал 2018-го в Подмосковье продали 3,3 тысячи загородных объектов, большинство из них (60 процентов) — участки без подряда. 24 процента покупателей выбрали квартиры в малоэтажных домах, семь процентов — таунхаусы. Ранее сообщалось о резком росте спроса на съемные дачи в Подмосковье. По мнению аналитиков, активизации арендаторов загородной недвижимости способствовал рост курсов иностранных валют: из-за удорожания доллара и евро многие россияне решили не выезжать за границу и организовать отдых на родине.",Дом,Дача,2018/05/10
https://lenta.ru/news/2018/11/12/med/,Россиянам предрекли дефицит медицинских изделий,"В России может возникнуть дефицит медицинских изделий после 2021 года. Это следует из расчетов объединения производителей «Медицинские ресурсы», сообщает «Коммерсантъ». До конца 2021 года российские производители должны перерегистрировать свои товары для создания единого рынка медицинских изделий в Евразийском экономическом союзе (ЕАЭС). Пройти процедуру можно со второй половины 2018 года, однако с учетом темпа работы Росздравнадзора на перерегистрацию уже существующих товаров понадобится 20 лет. Таким образом, производители не успеют завершить процедуру в срок, что может привести к дефициту на рынке медизделий. Кроме того, им придется отказаться от новых проектов и поднять цены из-за дополнительных расходов на перерегистрацию, вследствие чего увеличатся расходы частных и государственных клиник. Ассоциация «Медицинские ресурсы» направила обращение к вице-премьеру Татьяне Голиковой, в котором предложила отказаться от процедуры перерегистрации и заменить ее признанием национальных регистрационных удостоверений в странах-членах ЕАЭС. Аналогичные письма объединение уже направляло в Минздрав, Росздравнадзор и Минэкономики. Издание отмечает, что ведомства согласились с доводами производителей и поддержали их инициативу, однако поправки в соответствующий проект документа пока не внесли. К медицинским изделиям относят любые устройства, которые применяются для диагностики, профилактики или лечения различных заболеваний. Это техника, инструменты, имплантаты, расходные материалы, приборы и другие товары. Объем рынка медизделий в России составляет 255 миллиардов рублей.",Экономика,Рынки,2018/11/12
